vehicle_number,violations
FKN00GL4424,55
FKN00GL3514,42
FKN00GL9771,41
FKN00GL17863,41
FKN00GL2906,35
FKN00GL15265,34
FKN00GL14092,34
FKN00GL19337,30
FKN00GL1875,30
FKN00GL9852,29
FKN00GL1175,28
FKN00GL1118,28
FKN00GL15753,28
FKN00GL8041,27
FKN00GL8564,27
FKN00GL8361,26
FKN00GL24601,26
FKN00GL0420,26
FKN00GL20818,26
FKN00GL32387,25
FKN00GL7963,25
FKN00GL1498,25
FKN00GL25480,25
FKN00GL2445,24
FKN00GL2819,24
FKN00GL0635,24
FKN00GL0395,24
FKN00GL9182,24
FKN00GL2692,24
FKN00GL13920,23
FKN00GL2817,23
FKN00GL6443,23
FKN00GL21720,23
FKN00GL22956,23
FKN00GL0333,23
FKN00GL17388,23
FKN00GL6355,23
FKN00GL18629,22
FKN00GL35922,22
FKN00GL6353,22
FKN00GL9334,22
FKN00GL2850,22
FKN00GL4303,22
FKN00GL6310,22
FKN00GL104980,22
FKN00GL7910,22
FKN00GL12732,22
FKN00GL16746,22
FKN00GL14399,22
FKN00GL9526,22
FKN00GL5362,22
FKN00GL11475,21
FKN00GL3743,21
FKN00GL3531,21
FKN00GL0907,21
FKN00GL18528,21
FKN00GL18794,21
FKN00GL23079,21
FKN00GL6334,21
FKN00GL22258,21
FKN00GL22063,21
FKN00GL8043,21
FKN00GL17172,21
FKN00GL8015,21
FKN00GL11028,21
FKN00GL0636,21
FKN00GL6006,21
FKN00GL22537,20
FKN00GL19006,20
FKN00GL1199,20
FKN00GL7998,20
FKN00GL3688,20
FKN00GL1048,20
FKN00GL7586,20
FKN00GL24467,20
FKN00GL10449,20
FKN00GL0734,20
FKN00GL18074,20
FKN00GL25402,20
FKN00GL24261,20
FKN00GL18309,20
FKN00GL6860,20
FKN00GL7760,20
FKN00GL7612,20
FKN00GL3018,20
FKN00GL1243,20
FKN00GL6946,20
FKN00GL33465,19
FKN00GL4480,19
FKN00GL6423,19
FKN00GL56080,19
FKN00GL32651,19
FKN00GL10831,19
FKN00GL2735,19
FKN00GL3832,19
FKN00GL7916,19
FKN00GL2993,19
FKN00GL20898,19
FKN00GL21004,19
FKN00GL19014,19
FKN00GL6219,19
FKN00GL12905,19
FKN00GL4020,19
FKN00GL9990,19
FKN00GL9606,19
FKN00GL11463,19
FKN00GL0954,19
FKN00GL20170,19
FKN00GL6652,18
FKN00GL1049,18
FKN00GL6391,18
FKN00GL19786,18
FKN00GL4107,18
FKN00GL11705,18
FKN00GL24491,18
FKN00GL1032,18
FKN00GL2715,18
FKN00GL0930,18
FKN00GL7354,18
FKN00GL4341,18
FKN00GL60534,18
FKN00GL1641,18
FKN00GL44151,18
FKN00GL6629,18
FKN00GL5280,17
FKN00GL12904,17
FKN00GL3502,17
FKN00GL73563,17
FKN00GL7952,17
FKN00GL13988,17
FKN00GL58024,17
FKN00GL51416,17
FKN00GL10031,17
FKN00GL0397,17
FKN00GL41563,17
FKN00GL8154,17
FKN00GL25145,17
FKN00GL111727,17
FKN00GL18168,17
FKN00GL3695,17
FKN00GL1880,17
FKN00GL11577,17
FKN00GL5111,17
FKN00GL2317,17
FKN00GL0889,17
FKN00GL17808,17
FKN00GL7926,17
FKN00GL0049,17
FKN00GL14212,16
FKN00GL31097,16
FKN00GL7161,16
FKN00GL4759,16
FKN00GL17853,16
FKN00GL68690,16
FKN00GL0938,16
FKN00GL0923,16
FKN00GL6780,16
FKN00GL35636,16
FKN00GL16020,16
FKN00GL9032,16
FKN00GL0990,16
FKN00GL2863,16
